"","runtype","subject","roi","accuracy","kappa","alpha","lambda","percent.features"
"21","Questions","tb9325","L vATL",0.733392857142857,0.463983345157258,0.1,0.0307891039069267,66.804979253112
"22","Questions","tb9325","R OFA",0.597321428571429,0.195530661126313,1,0.00155713542794936,13.4751773049645
"23","Questions","tb9325","R FFA",0.610833333333333,0.218695749017488,0.9,0.0581039082148324,6.75675675675676
"24","Questions","tb9325","R vATL",0.561428571428571,0.135818356361835,0.7,0.204233776093918,0.5249343832021
"25","Questions","tb9360","L OFA",0.664404761904762,0.325647086247086,0.1,0.012943082096831,75.7575757575758
"26","Questions","tb9360","L FFA",0.714226190476191,0.420922232357015,0,1.85293696949911,100
"27","Questions","tb9360","L FFA",0.714226190476191,0.420922232357015,0,1.85293696949911,100
"28","Questions","tb9360","L vATL",0.728035714285714,0.454921833721834,0,1.37360546376203,100
"29","Questions","tb9360","R OFA",0.559642857142857,0.112930671261106,0.1,0.0766216993681107,48.2035928143713
"30","Questions","tb9360","R FFA",0.608154761904762,0.216462616127833,1,0.111705990781898,0.574712643678161
"31","Questions","tb9360","R vATL",0.606785714285714,0.215219739198,1,0.0190164783623227,10.0303951367781
"32","Questions","tb9399","L OFA",0.564642857142857,0.140578289021767,0.5,0.162394759895128,1.86915887850467
"33","Questions","tb9399","L FFA",0.461428571428571,0,0.1,113.930821930314,0
"34","Questions","tb9399","L vATL",0.47,0,0.1,144.761946372183,0
"35","Questions","tb9399","R OFA",0.493154761904762,-0.0104247795682579,0,6.64762623642001,100
"36","Questions","tb9399","R FFA",0.465714285714286,0,0.1,128.074903295256,0
"37","Questions","tb9399","R vATL",0.580892857142857,0.165776360032882,1,0.092132997799818,2.94117647058824
"38","Questions","tb9430","L OFA",0.709107142857143,0.420400020269585,0.7,0.209896015676871,0.423728813559322
"39","Questions","tb9430","L FFA",0.741547619047619,0.481822097226445,1,0.0708136730757513,2.72277227722772
"40","Questions","tb9430","L vATL",0.718869047619048,0.432825407925408,0,2.2537628292164,100
"41","Questions","tb9430","L vATL",0.718869047619048,0.432825407925408,0,2.2537628292164,100
"42","Questions","tb9430","R OFA",0.681190476190476,0.363771431145344,0.1,0.0108986132370315,64.9171270718232
"43","Questions","tb9430","R FFA",0.754940476190476,0.510733484229136,0.1,0.0257697477540892,59.8705501618123
"44","Questions","tb9430","R vATL",0.599285714285714,0.196987167100211,0.1,0.394863148412067,27.7777777777778
"45","Questions","tb9488","L OFA",0.647916666666667,0.294093324549846,0.1,0.108114041298132,42.6116838487972
"46","Questions","tb9488","L FFA",0.739523809523809,0.480147214621128,0,2.1660629745678,100
"47","Questions","tb9488","L FFA",0.739523809523809,0.480147214621128,0,2.1660629745678,100
"48","Questions","tb9488","L vATL",0.69125,0.384437354593876,0.1,0.0194885387223297,64.5756457564576
"49","Questions","tb9488","R OFA",0.602261904761905,0.207804730696035,0.7,0.0868493550399481,2.8391167192429
"50","Questions","tb9488","R FFA",0.464285714285714,0,0.1,131.412606809418,0
"51","Questions","tb9488","R vATL",0.596130952380952,0.208816400346835,0.7,0.249734344497196,0.316455696202532
"52","Questions","tb9516","L OFA",0.535714285714286,0.0769639933335585,1,0.00169696930810574,25.2747252747253
"53","Questions","tb9516","L FFA",0.704642857142857,0.406836252153643,0.9,0.0200211733825543,11.2582781456954
"54","Questions","tb9516","L vATL",0.612797619047619,0.235685172798216,0,9.22838947937417,100
"55","Questions","tb9516","R OFA",0.611607142857143,0.22580030516987,0.1,0.18013898315472,31.9047619047619
"56","Questions","tb9516","R FFA",0.680416666666667,0.363865220769569,1,0.00179342358463239,16.3865546218487
"57","Questions","tb9516","R vATL",0.477678571428571,-0.0465767237593325,0,5.81929342845473,100
"58","Questions","tb9555","L OFA",0.647833333333333,0.284235764235764,1,0.0263736464077007,5.17799352750809
"59","Questions","tb9555","L FFA",0.862833333333333,0.721460206460206,0.5,0.00910742791366234,16.9950738916256
"60","Questions","tb9555","L vATL",0.641166666666667,0.291708291708292,0,10.6150893168542,100
"61","Questions","tb9555","R OFA",0.4865,-0.0297752247752248,0.9,0.0629036322422702,4.30622009569378
"62","Questions","tb9555","R FFA",0.689,0.373516483516484,1,0.0446169097334672,4.2483660130719
"63","Questions","tb9555","R vATL",0.753333333333333,0.505794205794206,0.9,0.0107697425769332,10.3125
"64","Questions","tb9585","L OFA",0.566309523809524,0.135664076664077,0.1,0.064917208811095,48.8294314381271
